Sample_ID,Sample Name,Source Plate Barcode,Source Plate Name,Source Well,Destination Plate Barcode,Destination Plate Name,Destination Well,Volume
pY108_RP13_1,pY108_RP13_1,GF0001254,MOTY_OL_001_WorkingWP,D1,GF0001264,GF0001264,A13,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A14,25.0
pY108_RP14_1,pY108_RP14_1,GF0001254,MOTY_OL_001_WorkingWP,D3,GF0001264,GF0001264,A14,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A15,25.0
pY108_RP15_1,pY108_RP15_1,GF0001254,MOTY_OL_001_WorkingWP,D5,GF0001264,GF0001264,A15,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A16,25.0
pY108_RP16_1,pY108_RP16_1,GF0001254,MOTY_OL_001_WorkingWP,D7,GF0001264,GF0001264,A16,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A17,25.0
pY108_RP17_1,pY108_RP17_1,GF0001254,MOTY_OL_001_WorkingWP,D9,GF0001264,GF0001264,A17,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A18,25.0
pY108_RP18_1,pY108_RP18_1,GF0001254,MOTY_OL_001_WorkingWP,D11,GF0001264,GF0001264,A18,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A19,25.0
pY108_RP19_1,pY108_RP19_1,GF0001254,MOTY_OL_001_WorkingWP,D13,GF0001264,GF0001264,A19,25.0
pY108_FP1_1,pY108_FP1_1,GF0001254,MOTY_OL_001_WorkingWP,A1,GF0001264,GF0001264,A20,25.0
